"filename", "language", "toml", "Python", "YAML", "Ini", "Shell Script", "Markdown", "comment", "blank", "total"
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_username/get.md", "Markdown", 0, 0, 0, 0, 0, 130, 0, 34, 164
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_username/put.md", "Markdown", 0, 0, 0, 0, 0, 150, 0, 37, 187
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/servers/server_0.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 3, 8
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/git_push.sh", "Shell Script", 0, 0, 0, 0, 35, 0, 9, 15, 59
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/migration_2_0_0.md", "Markdown", 0, 0, 0, 0, 0, 167, 0, 36, 203
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/migration_other_python_generators.md", "Markdown", 0, 0, 0, 0, 0, 84, 0, 8, 92
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/pyproject.toml", "toml", 27, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/__init__.py", "Python", 0, 9, 0, 0, 0, 0, 13, 7, 29
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/api_client.py", "Python", 0, 1046, 0, 0, 0, 0, 226, 129, 1401
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 3, 0, 3
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/path_to_api.py", "Python", 0, 53, 0, 0, 0, 0, 0, 4, 57
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 3, 0, 3
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet.py", "Python", 0, 7, 0, 0, 0, 0, 6, 5, 18
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_find_by_status.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_find_by_tags.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_pet_id.py", "Python", 0, 9, 0, 0, 0, 0, 6, 5, 20
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_pet_id_upload_image.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_inventory.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_order.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_order_order_id.py", "Python", 0, 7, 0, 0, 0, 0, 6, 5, 18
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_create_with_array.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_create_with_list.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_login.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_logout.py", "Python", 0, 5, 0, 0, 0, 0, 6, 5, 16
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_username.py", "Python", 0, 9, 0, 0, 0, 0, 6, 5, 20
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tag_to_api.py", "Python", 0, 20, 0, 0, 0, 0, 0, 4, 24
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 3, 0, 3
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/pet_api.py", "Python", 0, 19, 0, 0, 0, 0, 11, 5, 35
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/store_api.py", "Python", 0, 11, 0, 0, 0, 0, 11, 5, 27
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/user_api.py", "Python", 0, 19, 0, 0, 0, 0, 11, 5, 35
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/__init__.py", "Python", 0, 22, 0, 0, 0, 0, 6, 9, 37
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_json/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_json/schema.py", "Python", 0, 2, 0, 0, 0, 0, 9, 4, 15
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_xml/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_xml/schema.py", "Python", 0, 2, 0, 0, 0, 0, 9, 4, 15
